,tweet,category,class
0, As a woman you shouldn't complain about cleaning up your house as a man you should always take the trash out ,neither,2
1, boy dats cold tyga dwn bad for cuffin dat hoe in the 1st place ,offensive_lang,1
2, Dawg You ever fuck a bitch and she start to cry You be confused as shit,offensive_lang,1
3, she look like a tranny,offensive_lang,1
4, The shit you hear about me might be true or it might be faker than the bitch who told it to ya ,offensive_lang,1
5, The shit just blows me claim you so faithful and down for somebody but still fucking with hoes ,offensive_lang,1
6, I can not just sit up and HATE on another bitch I got too much shit going on ,offensive_lang,1
7, cause I'm tired of you big bitches coming for us skinny girls ,offensive_lang,1
8, you might not get ya bitch back thats that ,offensive_lang,1
9, hobbies include fighting Mariam bitch,offensive_lang,1
10, Keeks is a bitch she curves everyone lol I walked into a conversation like this Smh,offensive_lang,1
11, Murda Gang bitch its Gang Land ,offensive_lang,1
12, So hoes that smoke are losers yea go on IG,offensive_lang,1
13, bad bitches is the only thing that i like ,offensive_lang,1
14, bitch get up off me ,offensive_lang,1
15, bitch nigga miss me with it ,offensive_lang,1
16, bitch plz whatever ,offensive_lang,1
17, bitch who do you love ,offensive_lang,1
18, bitches get cut off everyday B ,offensive_lang,1
19, black bottle a bad bitch ,offensive_lang,1
20, broke bitch cant tell me nothing ,offensive_lang,1
21, cancel that bitch like Nino ,offensive_lang,1
22, cant you see these hoes wont change ,offensive_lang,1
23, fuck no that bitch dont even suck dick the Kermit videos bout to fuck IG up,offensive_lang,1
24, got ya bitch tip toeing on my hardwood floors ,offensive_lang,1
25, her pussy lips like Heaven doors ,offensive_lang,1
26, hoe what its hitting for ,offensive_lang,1
27, i met that pussy on Ocean Dr i gave that pussy a pill ,offensive_lang,1
28, i need a trippy bitch who fuck on Hennessy ,offensive_lang,1
29, i spend my money how i want bitch its my business ,offensive_lang,1
30, i txt my old bitch my new bitch pussy wetter ,offensive_lang,1
31, i'd say im back to the old me but my old bitches would get excited ,offensive_lang,1
32, if you aint bout that Murder Game pussy nigga shut up ,offensive_lang,1
33, if you're toes ain't done you pussy stinks ,offensive_lang,1
34, im done with bitter bitches its a wrap for that if you a angry bird theres a app for that ,offensive_lang,1
35, is that ya bitch ,offensive_lang,1
36, it aint nothing to cut a bitch off ,offensive_lang,1
37, jus meet son now he ya mane ass bitches Shots,offensive_lang,1
38, lames crying over hoes thats tears of a clown ,offensive_lang,1
39, like Snoop said in 94 we dont love these hoes ,offensive_lang,1
40, momma said no pussy cats inside my doghouse ,neither,2
41, most hated but the hoes favorite 2MW SevenOne ,offensive_lang,1
42, nice girls bad make me get naughty Bad yello hoe real nice body Down south chick like em real thick ,offensive_lang,1
43, pimps up pimps up hoes down Future voice,offensive_lang,1
44, post a picture of that pussy get 200 likes ,offensive_lang,1
45, pussy is a powerful drug HappyHumpDay ,offensive_lang,1
46, quick piece of pussy call it a drive by ,offensive_lang,1
47, running round here like some brand new pussy thats bout to get fucked ,offensive_lang,1
48, these bitches even worst they'll send them guys for you ,offensive_lang,1
49, these hoes like niggas that spend money not talk bout it ,offensive_lang,1
50, we dont trust these niggas all these bitches ,offensive_lang,1
51, yall niggas b cuffing hoes cause yall aint never have bitches ,offensive_lang,1
52, you dodge a bullet All da bitches I cut off pregnant or bound to be thank God ,offensive_lang,1
53, young Pill Chamberlain these bitches love my music ,offensive_lang,1
54, Teanna Trump probably cleaner than most of these twitter hoes but ,offensive_lang,1
55, Gay niggas couldn't wait to act like bitches tonight ,offensive_lang,1
56, And ima steal his cat n replace it with a pitbull He a bitch you should do it ,offensive_lang,1
57, he's gone always be a hoe ,offensive_lang,1
58, Son of a bitch took my Tic Tacs I like this movie ,offensive_lang,1
59, All I wanna do is get money and fuck model bitches Russell Simmons,offensive_lang,1
60, I probably wouldn t mind school as much if we didn t have to deal with bitch ass teachers Retweet,offensive_lang,1
61, I'm a fucking fag they said ,offensive_lang,1
62, Females think dating a pussy is cute now how does doing this stuff make him a pussy ,offensive_lang,1
63, SimplyAddictedToGuys woof woof hot scally lad,neither,2
64, Have ya ever asked your bitch for other bitches kanye voice Yes,offensive_lang,1
65, How u gone bring ur side bitch to a game where You know Ya gf friends at I SWEAR ,offensive_lang,1
66, woof woof and hot soles,neither,2
67, Lemmie eat a Oreo do these dishes One oreo Lol,neither,2
68, bitch fuck u maybe you'll get better Just ,offensive_lang,1
69, Fuck Red Malone man bitch ass niggah could you please use complete sentences ,offensive_lang,1
70, Why the eggplant emoji doe y he say she looked like scream lmao,neither,2
71, Hennessey Venom GT that's one sexy bitch,offensive_lang,1
72, Him seh me pussy wetter then a shower curtain ahmesehwetness lmao ,offensive_lang,1
73, Eaglesnation and every Eagles need to see that pic I just posted because that bitch just said the most racist shit ,offensive_lang,1
74, Yo fuck skateboarding all y'all some wood pushing faggots man ball is life AmJemieBenn,offensive_lang,1
75, baby monkey bathtime Awwwwe This is soooo ADORABLE ,neither,2
76, I ain't shit Damn Skippy lol,offensive_lang,1
77, u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy No bs must b 30 chance,offensive_lang,1
78, 0 rings 0 mvps 0 bitches lol,offensive_lang,1
79, ppl talk bad about the ghetto hood but as a kid growing up a nigga had funnnnnnn ,offensive_lang,1
80, The facts on tattoos tattoo he's a pussy with not tattooing them nipples,offensive_lang,1
81, Bitches be wanting to act like niggas so bad that shit aint cuteeeee but niggas act like bitches ,offensive_lang,1
82, Get worshiping bitch woof woof,offensive_lang,1
83, Wow I'm lost Are those buttcheek piercings yeah she's a hoe,offensive_lang,1
84, Ok sis She'd rather be a broke bitch shrugs she'll have to tell me how it works for her,offensive_lang,1
85, queer gaywad,hate_speech,0
86, faggot read my tweets after dat k it wasn't even funny lol,offensive_lang,1
87, This bitch was so ungrateful fr LULWHORE,offensive_lang,1
88, I been kidnapped yo bitch ,offensive_lang,1
89, alsarabsss hes a beaner smh you can tell hes a mexican,hate_speech,0
90, happy birthday nigs Thanks yo,offensive_lang,1
91, when ur teacher tells u that u have homework this bitch need to go ,offensive_lang,1
92, that nigga was eating that hoe lol Hell Yea lol john Paul nigga said john paul ,offensive_lang,1
93, What would y'all lil ugly bald headed bitches do if they stop making make up weave ,offensive_lang,1
94, Leafs better win this damn game so I can go riot and shit EarlyChristmas you better start looting my nig,offensive_lang,1
95, Going back to school sucks more dick than the hoes who attend it ,offensive_lang,1
96, On my way to fuck yo bitch me as a 9 year old,offensive_lang,1
97, how come you never bring me food i dont have a car retard,offensive_lang,1
98, If Richnow doesn't show up with hella tinder hoes Im not his friend anymore chill I brought like like 8 prople,offensive_lang,1
99, How bout them Cowboys Shutup pussy,offensive_lang,1
100, LMAOOOOOOOOOOO this nigga bitch want likes for some depressing shit foh,offensive_lang,1
101, girl you know I was spitting that G shit to you you was going lbvs bitch plz,offensive_lang,1
102, Let me make a couple tweets off cuzzo page so I won't get in twitter jail lmao bitch don't trick me again,offensive_lang,1
103, Harlem shake is just an excuse to go full retard for 30 seconds ,offensive_lang,1
104, amen miley but she don't need to act like a hoe just bc she's emotionally damaged foh,offensive_lang,1
105, having one loyal female is wayyyyy better than having hoes idc ,offensive_lang,1
106, Pussy licking pussy meow meow StopWhitePeople2014 ,offensive_lang,1
107, Check out our 12th man CowboysNation even with all those faggot ny fans in the stands,offensive_lang,1
108, What happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch,offensive_lang,1
109, im the bitch okay nudes pat wow,offensive_lang,1
110, you're fucking gay blacklisted hoe Holding out for TehGodClan anyway ,hate_speech,0
111, The fuck be wrong with these bitches Nobody knows,offensive_lang,1
112, Yall shut up p make me bitch,offensive_lang,1
113, I hate a I'm pregnant type of bitch ,offensive_lang,1
114, Got bitches in the DM but I don't ever read'em which is y your top 3,offensive_lang,1
115, Baseball season for the win Yankees This is where the love started,neither,2
116, Little stupid as bitch I don't fuck with yoooooouuuu ,offensive_lang,1
117, she really asked me that dead ass serious tho all i could say was bitch wheet LOL,offensive_lang,1
118, I'm an early bird and I'm a night owl so I'm wise and have worms ,neither,2
119, Overdosing on heavy drugs doesn't sound bad tonight I do that pussy shit every day ,neither,2
120, Pit Bulls Photographed As Lovely Fairy Tale Creatures They are fairy tale creatures ,neither,2
121, Aw fag don't tweet aw to me lol,offensive_lang,1
122, As long as the Lakers trash from now on I could careless And that's real hahaha,neither,2
123, I didn't say anything tho kiss me then faggot,offensive_lang,1
124, this the I play soccer cheat on girls and wear khaki coloured cargos haircut yup,neither,2
